"","logFC","CI.L","CI.R","AveExpr","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR","P value","Adjusted P value","negLog10rawP","negLog10adjP","sig.pval.fct","sig.FDR.fct"
"Q2TPA8_Hsdl2_1",0.875782731115269,0.771013394700973,0.980552067529565,27.7600848559106,17.0117707493048,30.6259829819591,8.04034092999731e-18,2.11241684433566e-15,0,0,8.04034092999731e-18,2.11241684433566e-15,17.0947255357195,14.6752203781212,"nonDE","nonDE"
"Q9DC69_Ndufa9_2",-0.197893685892655,-0.321143160993189,-0.0746442107921217,27.948959540177,-3.26763994576241,-2.81146460576867,0.00254915029597968,0.00966803721178643,0,0,0.00254915029597968,0.00966803721178643,2.59360455810061,2.01466168668367,"nonDE","nonDE"
"P97298_Serpinf1_3",0.88319747788259,0.215747116634361,1.55064783913082,17.4663783257968,2.69679379487568,-4.17975437012776,0.0111338412055917,0.0324362914154839,0,0,0.0111338412055917,0.0324362914154839,1.95335497703187,1.4889688064295,"nonDE","nonDE"
"Q99NB1_Acss1_4",0.308260544901461,0.190207477042561,0.426313612760362,28.2138111839191,5.31407893906841,2.89529471545668,7.46086279886578e-06,6.43638611603645e-05,0,0,7.46086279886578e-06,6.43638611603645e-05,5.12721094637193,4.19135791065223,"nonDE","nonDE"
"P52825_Cpt2_5",0.33863589558063,0.239848167263763,0.437423623897497,28.8107180103097,6.97617441795996,7.74217068691502,5.86658234400281e-08,1.04656931939309e-06,0,0,5.86658234400281e-08,1.04656931939309e-06,7.23161482914372,5.9802320009298,"nonDE","nonDE"
"Q8BVZ1_Plin5_6",0.408981174644023,0.228960777424843,0.589001571863203,23.2525372752522,4.62347953449598,0.890259961886475,5.65312447014967e-05,0.000376440776929322,0,0,5.65312447014967e-05,0.000376440776929322,4.2477114521652,3.42430333892117,"nonDE","nonDE"
"Q99LX0_Park7_7",-0.149273380769415,-0.286947466351814,-0.0115992951870161,28.2768446083501,-2.20656896486071,-5.22646771367844,0.0344680636093918,0.0805276506314811,0,0,0.0344680636093918,0.0805276506314811,1.46258311425315,1.09405497112572,"nonDE","nonDE"
"P10126_Eef1a1_8",0.210186758588403,-0.0226072292868557,0.442980746463662,25.9723154838157,1.83752283203471,-5.90756210374336,0.075227081381524,0.150600358296697,0,0,0.075227081381524,0.150600358296697,1.1236257873698,0.822173994894327,"nonDE","nonDE"
"Q8K1M6_Dnm1l_9",-0.0266127395187787,-0.0987737603486313,0.0455482813110738,26.5587776169504,-0.750540707223376,-7.27172153734574,0.458288102403846,0.591273489262105,0,0,0.458288102403846,0.591273489262105,0.338861417307751,0.228211592885366,"nonDE","nonDE"
"Q01853_Vcp_10",0.01947771633386,-0.0943144082511329,0.133269840918853,29.3525376579552,0.348347876806362,-7.49649224274828,0.729808384830436,0.811522213220454,0,0,0.729808384830436,0.811522213220454,0.136791151296568,0.0906995880410324,"nonDE","nonDE"
