TNFR_name,partner_ID,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
RELT,PIK3R3,9606,0.68,0,0.0,0,0.0,0.68,0.0,0.0
RELT,RELL2,9606,0.655,0,0.0,0,0.073,0.483,0.0,0.909
RELT,LTB,9606,0.562,0,0.0,0,0.076,0.0,0.0,0.545
RELT,C14orf79,9606,0.542,0,0.0,0,0.0,0.0,0.0,0.542
RELT,FCHSD2,9606,0.531,0,0.0,0,0.068,0.0,0.0,0.518
RELT,TNFRSF19,9606,0.516,0,0.0,0,0.0,0.0,0.0,0.516
RELT,PLSCR1,9606,0.511,0,0.0,0,0.0,0.0,0.0,0.51
RELT,ACER3,9606,0.505,0,0.0,0,0.0,0.0,0.0,0.505
RELT,PMFBP1,9606,0.498,0,0.0,0,0.0,0.0,0.0,0.498
RELT,HSPA13,9606,0.495,0,0.0,0,0.0,0.0,0.0,0.495
RELT,VWA5B2,9606,0.489,0,0.0,0,0.0,0.0,0.0,0.489
RELT,MAP6,9606,0.489,0,0.0,0,0.0,0.0,0.0,0.489
RELT,SUSD2,9606,0.489,0,0.0,0,0.0,0.0,0.0,0.489
RELT,CCDC137,9606,0.485,0,0.0,0,0.0,0.0,0.0,0.485
RELT,GRWD1,9606,0.473,0,0.0,0,0.0,0.0,0.0,0.473
RELT,TNFRSF4,9606,0.45299999999999996,0,0.0,0,0.075,0.0,0.0,0.433
RELT,ERLEC1,9606,0.43700000000000006,0,0.0,0,0.0,0.0,0.0,0.43700000000000006
RELT,LTBR,9606,0.435,0,0.0,0,0.0,0.0,0.0,0.435
RELT,TNFRSF25,9606,0.434,0,0.0,0,0.0,0.0,0.0,0.434
RELT,TNFRSF21,9606,0.42200000000000004,0,0.0,0,0.0,0.0,0.0,0.42200000000000004
RELT,RELL1,9606,0.42100000000000004,0,0.0,0,0.065,0.213,0.0,0.909
RELT,SERAC1,9606,0.414,0,0.0,0,0.0,0.0,0.0,0.414
RELT,ASB9,9606,0.41,0,0.0,0,0.0,0.0,0.0,0.41
RELT,RSPH3,9606,0.40299999999999997,0,0.0,0,0.0,0.0,0.0,0.40299999999999997
RELT,TNFRSF12A,9606,0.402,0,0.0,0,0.0,0.0,0.0,0.402
TNFRSF1A,TNF,9606,0.9990000000000001,0,0.0,0,0.062,0.9940000000000001,0.9,0.9940000000000001
TNFRSF1A,TNFAIP3,9606,0.9990000000000001,0,0.0,0,0.062,0.9790000000000001,0.9,0.561
TNFRSF1A,RIPK1,9606,0.9990000000000001,0,0.0,0,0.081,0.998,0.9,0.9890000000000001
TNFRSF1A,TRAF2,9606,0.9990000000000001,0,0.0,0,0.062,0.922,0.9,0.978
TNFRSF1A,FADD,9606,0.9990000000000001,0,0.0,0,0.062,0.758,0.9,0.9890000000000001
TNFRSF1A,BIRC2,9606,0.9990000000000001,0,0.0,0,0.049,0.873,0.9,0.987
TNFRSF1A,LTA,9606,0.9990000000000001,0,0.0,0,0.062,0.9940000000000001,0.8,0.9940000000000001
TNFRSF1A,CASP8,9606,0.9990000000000001,0,0.0,0,0.063,0.47600000000000003,0.9,0.99
TNFRSF1A,TRADD,9606,0.9990000000000001,0,0.0,0,0.078,0.919,0.9,0.99
TNFRSF1A,CYLD,9606,0.998,0,0.0,0,0.0,0.765,0.9,0.9590000000000001
TNFRSF1A,IKBKG,9606,0.998,0,0.0,0,0.0,0.879,0.9,0.857
TNFRSF1A,TNFRSF1B,9606,0.998,0,0.0,0,0.063,0.27,0.9,0.9840000000000001
TNFRSF1A,BAG4,9606,0.997,0,0.0,0,0.062,0.499,0.9,0.9440000000000001
TNFRSF1A,IKBKB,9606,0.997,0,0.0,0,0.062,0.8959999999999999,0.9,0.779
TNFRSF1A,CHUK,9606,0.997,0,0.0,0,0.062,0.884,0.9,0.7609999999999999
TNFRSF1A,TRAF1,9606,0.996,0,0.0,0,0.062,0.7,0.9,0.888
TNFRSF1A,BIRC3,9606,0.995,0,0.0,0,0.062,0.77,0.9,0.8220000000000001
TNFRSF1A,NSMAF,9606,0.995,0,0.0,0,0.0,0.675,0.9,0.878
